technology,year,parameter,value,unit,source,further description
electric boiler steam,2020,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",310.1 Electric boiler steam  :  Technical lifetime
electricity distribution grid,2020,FOM,2.0,%/year,TODO," from old pypsa cost assumptions"
electricity distribution grid,2020,investment,500.0,EUR/kW,TODO," from old pypsa cost assumptions"
electricity distribution grid,2020,lifetime,40.0,years,TODO," from old pypsa cost assumptions"
electricity grid connection,2020,FOM,2.0,%/year,TODO," from old pypsa cost assumptions"
electricity grid connection,2020,investment,140.0,EUR/kW,DEA," from old pypsa cost assumptions"
electricity grid connection,2020,lifetime,40.0,years,TODO," from old pypsa cost assumptions"
electrolysis,2020,FOM,2.0,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","86 AEC 100MW:  Fixed O&M "
electrolysis,2020,efficiency,0.66,per unit,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",86 AEC 100MW:  Hydrogen
electrolysis,2020,investment,650.0,EUR/kW_e,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",86 AEC 100MW:  Specific investment
electrolysis,2020,lifetime,25.0,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",86 AEC 100MW:  Technical lifetime
fuel cell,2020,FOM,5.0,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Fixed O&M
fuel cell,2020,c_b,1.25,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Cb coefficient
fuel cell,2020,efficiency,0.5,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","12 LT-PEMFC CHP:  Electricity efficiency, annual average"
fuel cell,2020,investment,1300.0,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Nominal investment
fuel cell,2020,lifetime,10.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Technical lifetime
gas,2020,CO2 intensity,0.2,tCO2/MWh_th,Stoichiometric calculation with 50 GJ/t CH4,
gas,2020,fuel,20.1,EUR/MWh_th,BP 2019,
gas boiler steam,2020,FOM,3.67,%/year,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",311.1c Steam boiler Gas:  Fixed O&M
gas boiler steam,2020,VOM,1.1,EUR/MWh,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",311.1c Steam boiler Gas:  Variable O&M
gas boiler steam,2020,efficiency,0.92,per unit,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx","311.1c Steam boiler Gas:  Total efficiency, net, annual average"
gas boiler steam,2020,investment,54.55,EUR/kW,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",311.1c Steam boiler Gas:  Nominal investment
gas boiler steam,2020,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",311.1c Steam boiler Gas:  Technical lifetime
gas storage,2020,FOM,3.59,%,Danish Energy Agency,"150 Underground Storage of Gas, Operation and Maintenace, salt cavern (units converted)"
gas storage,2020,investment,0.03,EUR/kWh,Danish Energy Agency,"150 Underground Storage of Gas, Establishment of one cavern (units converted)"
gas storage,2020,lifetime,100.0,years,TODO no source,"estimation: most underground storage are already build, they do have a long lifetime"
gas storage charger,2020,investment,14.34,EUR/kW,Danish Energy Agency,"150 Underground Storage of Gas, Process equipment (units converted)"
gas storage discharger,2020,investment,4.78,EUR/kW,Danish Energy Agency,"150 Underground Storage of Gas, Process equipment (units converted)"
geothermal,2020,CO2 intensity,0.03,tCO2/MWhth,https://www.eia.gov/environment/emissions/co2_vol_mass.php," from old pypsa cost assumptions"
geothermal,2020,FOM,2.36,%/year,DIW DataDoc http://hdl.handle.net/10419/80348," from old pypsa cost assumptions"
geothermal,2020,efficiency,0.24,per unit,DIW DataDoc http://hdl.handle.net/10419/80348," from old pypsa cost assumptions"
geothermal,2020,investment,3392.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348," from old pypsa cost assumptions"
geothermal,2020,lifetime,40.0,years,IEA2010," from old pypsa cost assumptions"
helmeth,2020,FOM,3.0,%/year,no source," from old pypsa cost assumptions"
helmeth,2020,efficiency,0.8,per unit,HELMETH press release," from old pypsa cost assumptions"
helmeth,2020,investment,2000.0,EUR/kW,no source," from old pypsa cost assumptions"
helmeth,2020,lifetime,25.0,years,no source," from old pypsa cost assumptions"
home battery inverter,2020,FOM,0.2,%/year,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Fixed O&M
home battery inverter,2020,efficiency,0.95,per unit,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Round trip efficiency DC
home battery inverter,2020,investment,377.0,EUR/kW,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Output capacity expansion cost investment
home battery inverter,2020,lifetime,10.0,years,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx, Note K.",:  Technical lifetime
home battery storage,2020,investment,323.53,EUR/kWh,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Energy storage expansion cost investment
home battery storage,2020,lifetime,20.0,years,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Technical lifetime
hydro,2020,FOM,1.0,%/year,DIW DataDoc http://hdl.handle.net/10419/80348," from old pypsa cost assumptions"
hydro,2020,efficiency,0.9,per unit,DIW DataDoc http://hdl.handle.net/10419/80348," from old pypsa cost assumptions"
hydro,2020,investment,2208.16,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348," from old pypsa cost assumptions"
hydro,2020,lifetime,80.0,years,IEA2010," from old pypsa cost assumptions"
hydrogen storage,2020,investment,11.2,USD/kWh,budischak2013," from old pypsa cost assumptions"
hydrogen storage,2020,lifetime,20.0,years,budischak2013," from old pypsa cost assumptions"
hydrogen storage tank incl. compressor,2020,FOM,1.05,%/year,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",151a Hydrogen Storage - Tanks:  Fixed O&M
hydrogen storage tank incl. compressor,2020,investment,57.0,EUR/kWh,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",151a Hydrogen Storage - Tanks:  Specific investment
hydrogen storage tank incl. compressor,2020,lifetime,25.0,years,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",151a Hydrogen Storage - Tanks:  Technical lifetime
hydrogen storage underground,2020,FOM,0.0,%/year,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",151c Hydrogen Storage - Caverns:  Fixed O&M
hydrogen storage underground,2020,VOM,0.0,EUR/MWh,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",151c Hydrogen Storage - Caverns:  Variable O&M
hydrogen storage underground,2020,investment,3.0,EUR/kWh,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",151c Hydrogen Storage - Caverns:  Specific investment
hydrogen storage underground,2020,lifetime,100.0,years,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",151c Hydrogen Storage - Caverns:  Technical lifetime
industrial heat pump high temperature,2020,FOM,0.09,%/year,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",302.b High temp. hp Up to 150:  Fixed O&M
industrial heat pump high temperature,2020,VOM,3.26,EUR/MWh,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",302.b High temp. hp Up to 150:  Variable O&M
industrial heat pump high temperature,2020,efficiency,2.95,per unit,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx","302.b High temp. hp Up to 150:  Total efficiency, net, annual average"
industrial heat pump high temperature,2020,investment,1045.44,EUR/kW,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",302.b High temp. hp Up to 150:  Nominal investment
industrial heat pump high temperature,2020,lifetime,20.0,years,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",302.b High temp. hp Up to 150:  Technical lifetime
industrial heat pump medium temperature,2020,FOM,0.11,%/year,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",302.a High temp. hp Up to 125 C:  Fixed O&M
industrial heat pump medium temperature,2020,VOM,3.26,EUR/MWh,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",302.a High temp. hp Up to 125 C:  Variable O&M
industrial heat pump medium temperature,2020,efficiency,2.55,per unit,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx","302.a High temp. hp Up to 125 C:  Total efficiency, net, annual average"
industrial heat pump medium temperature,2020,investment,871.2,EUR/kW,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",302.a High temp. hp Up to 125 C:  Nominal investment
industrial heat pump medium temperature,2020,lifetime,20.0,years,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",302.a High temp. hp Up to 125 C:  Technical lifetime
lignite,2020,CO2 intensity,0.41,tCO2/MWh_th,Entwicklung der spezifischen Kohlendioxid-Emissionen des deutschen Strommix in den Jahren 1990 - 2018,
lignite,2020,FOM,1.6,%/year,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
lignite,2020,VOM,3.5,EUR/MWh_e,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
lignite,2020,efficiency,0.33,per unit,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
lignite,2020,fuel,2.9,EUR/MWh_th,DIW,
lignite,2020,investment,3845.51,EUR/kW_e,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
lignite,2020,lifetime,40.0,years,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
methanation,2020,FOM,3.0,%/year,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), section 6.2.3.1",
methanation,2020,capture rate,0.98,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,
methanation,2020,efficiency,0.8,per unit,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), section 6.2.3.1",
methanation,2020,investment,718.95,"EUR/MW_CH4; and
EUR/kW_CH4","Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 6: “Reference scenario”.",
methanation,2020,lifetime,20.0,years,Guesstimate.,
methane storage tank incl. compressor,2020,FOM,1.9,%/year,"Guesstimate, based on hydrogen storage tank by DEA.",
methane storage tank incl. compressor,2020,investment,8629.2,EUR/m^3,Storage costs per l: https://www.compositesworld.com/articles/pressure-vessels-for-alternative-fuels-2014-2023 (2021-02-10).,
methane storage tank incl. compressor,2020,lifetime,30.0,years,"Guesstimate, based on hydrogen storage tank by DEA.",
methanolisation,2020,FOM,3.0,%/year,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), section 6.3.2.1.",
methanolisation,2020,investment,757401.0,EUR/MW_MeOH,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 8: “Reference scenario”.",
methanolisation,2020,lifetime,20.0,years,"Danish Energy Agency, Technology Data for Renewable Fuels (04/2022), Data sheet “Methanol to Power”.",
micro CHP,2020,FOM,6.67,%/year,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",219 LT-PEMFC mCHP - natural gas:  Fixed O&M
micro CHP,2020,efficiency,0.35,per unit,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx","219 LT-PEMFC mCHP - natural gas:  Electric efficiency, annual average, net"
micro CHP,2020,efficiency-heat,0.6,per unit,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx","219 LT-PEMFC mCHP - natural gas:  Heat efficiency, annual average, net"
micro CHP,2020,investment,10045.31,EUR/kW_th,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",219 LT-PEMFC mCHP - natural gas:  Specific investment
micro CHP,2020,lifetime,20.0,years,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",219 LT-PEMFC mCHP - natural gas:  Technical lifetime
nuclear,2020,FOM,1.4,%/year,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
nuclear,2020,VOM,3.5,EUR/MWh_e,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
nuclear,2020,efficiency,0.33,per unit,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
nuclear,2020,fuel,2.6,EUR/MWh_th,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
nuclear,2020,investment,7940.45,EUR/kW_e,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
nuclear,2020,lifetime,40.0,years,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
offwind,2020,FOM,2.51,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","21 Offshore turbines:  Fixed O&M [EUR/MW_e/y, 2020]"
offwind,2020,VOM,0.02,EUR/MWhel,RES costs made up to fix curtailment order," from old pypsa cost assumptions"
offwind,2020,investment,1804.77,"EUR/kW_e, 2020","Danish Energy Agency, technology_data_for_el_and_dh.xlsx","21 Offshore turbines:  Nominal investment [MEUR/MW_e, 2020] grid connection costs substracted from investment costs"
offwind,2020,lifetime,27.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",21 Offshore turbines:  Technical lifetime [years]
offwind-ac-connection-submarine,2020,investment,2685.0,EUR/MW/km,DEA https://ens.dk/en/our-services/projections-and-models/technology-data," from old pypsa cost assumptions"
offwind-ac-connection-underground,2020,investment,1342.0,EUR/MW/km,DEA https://ens.dk/en/our-services/projections-and-models/technology-data," from old pypsa cost assumptions"
offwind-ac-station,2020,investment,250.0,EUR/kWel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data," from old pypsa cost assumptions"
offwind-dc-connection-submarine,2020,investment,2000.0,EUR/MW/km,DTU report based on Fig 34 of https://ec.europa.eu/energy/sites/ener/files/documents/2014_nsog_report.pdf," from old pypsa cost assumptions"
offwind-dc-connection-underground,2020,investment,1000.0,EUR/MW/km,Haertel 2017; average + 13% learning reduction," from old pypsa cost assumptions"
offwind-dc-station,2020,investment,400.0,EUR/kWel,Haertel 2017; assuming one onshore and one offshore node + 13% learning reduction," from old pypsa cost assumptions"
oil,2020,CO2 intensity,0.26,tCO2/MWh_th,Stoichiometric calculation with 44 GJ/t diesel and -CH2- approximation of diesel,
oil,2020,FOM,2.57,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",50 Diesel engine farm:  Fixed O&M
oil,2020,VOM,6.0,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",50 Diesel engine farm:  Variable O&M
oil,2020,efficiency,0.35,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","50 Diesel engine farm:  Electricity efficiency, annual average"
oil,2020,fuel,50.0,EUR/MWhth,IEA WEM2017 97USD/boe = http://www.iea.org/media/weowebsite/2017/WEM_Documentation_WEO2017.pdf," from old pypsa cost assumptions"
oil,2020,investment,343.0,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",50 Diesel engine farm:  Specific investment
oil,2020,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",50 Diesel engine farm:  Technical lifetime
onwind,2020,FOM,1.25,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",20 Onshore turbines:  Fixed O&M
onwind,2020,VOM,1.5,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",20 Onshore turbines:  Variable O&M
onwind,2020,investment,1118.77,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","20 Onshore turbines:  Nominal investment "
onwind,2020,lifetime,27.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",20 Onshore turbines:  Technical lifetime
ror,2020,FOM,2.0,%/year,DIW DataDoc http://hdl.handle.net/10419/80348," from old pypsa cost assumptions"
ror,2020,efficiency,0.9,per unit,DIW DataDoc http://hdl.handle.net/10419/80348," from old pypsa cost assumptions"
ror,2020,investment,3312.24,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348," from old pypsa cost assumptions"
ror,2020,lifetime,80.0,years,IEA2010," from old pypsa cost assumptions"
seawater desalination,2020,FOM,4.0,%/year,"Caldera et al 2016: Local cost of seawater RO desalination based on solar PV and windenergy: A global estimate. (https://doi.org/10.1016/j.desal.2016.02.004), Table 1.",
seawater desalination,2020,electricity-input,3.03,kWh/m^3-H2O,"Caldera et al 2016: Local cost of seawater RO desalination based on solar PV and windenergy: A global estimate. (https://doi.org/10.1016/j.desal.2016.02.004), Fig. 4.",
seawater desalination,2020,investment,40219.78,EUR/(m^3-H2O/h),"Caldera et al 2017: Learning Curve for Seawater Reverse Osmosis Desalination Plants: Capital Cost Trend of the Past, Present, and Future (https://doi.org/10.1002/2017WR021402), Table 4.",
seawater desalination,2020,lifetime,30.0,years,"Caldera et al 2016: Local cost of seawater RO desalination based on solar PV and windenergy: A global estimate. (https://doi.org/10.1016/j.desal.2016.02.004), Table 1.",
solar,2020,FOM,1.58,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",22 Rooftop PV residential:  Fixed O&M [2020-EUR/MW_e/y]
solar,2020,VOM,0.01,EUR/MWhel,RES costs made up to fix curtailment order," from old pypsa cost assumptions"
solar,2020,investment,733.47,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",22 Rooftop PV residential:  Nominal investment [2020-MEUR/MW_e]
solar,2020,lifetime,35.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",22 Rooftop PV residential:  Technical lifetime [years]
solar-rooftop,2020,FOM,1.15,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",22 Rooftop PV residential:  Fixed O&M [2020-EUR/MW_e/y]
solar-rooftop,2020,discount rate,0.04,per unit,standard for decentral," from old pypsa cost assumptions"
solar-rooftop,2020,investment,957.47,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",22 Rooftop PV residential:  Nominal investment [2020-MEUR/MW_e]
solar-rooftop,2020,lifetime,35.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",22 Rooftop PV residential:  Technical lifetime [years]
solar-rooftop commercial,2020,FOM,1.22,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",22 Rooftop PV commercial:  Fixed O&M [2020-EUR/MW_e/y]
solar-rooftop commercial,2020,investment,790.08,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",22 Rooftop PV commercial:  Nominal investment [2020-MEUR/MW_e]
solar-rooftop commercial,2020,lifetime,35.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",22 Rooftop PV commercial:  Technical lifetime [years]
solar-rooftop residential,2020,FOM,1.08,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",22 Rooftop PV residential:  Fixed O&M [2020-EUR/MW_e/y]
solar-rooftop residential,2020,investment,1124.86,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",22 Rooftop PV residential:  Nominal investment [2020-MEUR/MW_e]
solar-rooftop residential,2020,lifetime,35.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",22 Rooftop PV residential:  Technical lifetime [years]
solar-utility,2020,FOM,2.01,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",22 Utility-scale PV:  Fixed O&M [2020-EUR/MW_e/y]
solar-utility,2020,investment,509.47,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",22 Utility-scale PV:  Nominal investment [2020-MEUR/MW_e]
solar-utility,2020,lifetime,35.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",22 Utility-scale PV:  Technical lifetime [years]
solid biomass,2020,CO2 intensity,0.37,tCO2/MWh_th,Stoichiometric calculation with 18 GJ/t_DM LHV and 50% C-content for solid biomass,
solid biomass,2020,fuel,12.0,EUR/MWh_th,"JRC ENSPRESO ca avg for MINBIOWOOW1 (secondary forest residue wood chips), ENS_Ref for 2040",
solid biomass boiler steam,2020,FOM,5.45,%/year,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",311.1e Steam boiler Wood:  Fixed O&M
solid biomass boiler steam,2020,VOM,2.78,EUR/MWh,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",311.1e Steam boiler Wood:  Variable O&M
solid biomass boiler steam,2020,efficiency,0.89,per unit,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx","311.1e Steam boiler Wood:  Total efficiency, net, annual average"
solid biomass boiler steam,2020,investment,618.18,EUR/kW,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",311.1e Steam boiler Wood:  Nominal investment
solid biomass boiler steam,2020,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_industrial_process_heat.xlsx",311.1e Steam boiler Wood:  Technical lifetime
solid biomass to hydrogen,2020,FOM,4.25,%/year,"Zech et.al. DBFZ Report Nr. 19. Hy-NOW - Evaluierung der Verfahren und Technologien für die Bereitstellung von Wasserstoff auf Basis von Biomasse, DBFZ, 2014",
solid biomass to hydrogen,2020,capture rate,0.98,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,
solid biomass to hydrogen,2020,efficiency,0.56,per unit,"Zech et.al. DBFZ Report Nr. 19. Hy-NOW - Evaluierung der Verfahren und Technologien für die Bereitstellung von Wasserstoff auf Basis von Biomasse, DBFZ, 2014",
solid biomass to hydrogen,2020,investment,2500.0,EUR/kW_th,"Zech et.al. DBFZ Report Nr. 19. Hy-NOW - Evaluierung der Verfahren und Technologien für die Bereitstellung von Wasserstoff auf Basis von Biomasse, DBFZ, 2014",
uranium,2020,fuel,2.6,EUR/MWh_th,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
water tank charger,2020,efficiency,0.84,per unit,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  efficiency from sqr(Round trip efficiency)
water tank discharger,2020,efficiency,0.84,per unit,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  efficiency from sqr(Round trip efficiency)
Ammonia cracker,2030,FOM,4.3,%/year,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 7.",
Ammonia cracker,2030,investment,1062107.74,EUR/MW_H2,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 6.",
Ammonia cracker,2030,lifetime,25.0,years,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 7.",
BioSNG,2030,C in fuel,0.34,per unit,Stoichiometric calculation,
BioSNG,2030,C stored,0.66,per unit,Stoichiometric calculation,
BioSNG,2030,CO2 stored,0.24,tCO2/MWh_th,Stoichiometric calculation,
BioSNG,2030,FOM,1.64,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Fixed O&M"
BioSNG,2030,VOM,1.7,EUR/MWh_th,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Variable O&M"
BioSNG,2030,capture rate,0.98,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,
BioSNG,2030,efficiency,0.63,per unit,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Bio SNG"
BioSNG,2030,investment,1600.0,EUR/kW_th,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Specific investment"
BioSNG,2030,lifetime,25.0,years,TODO,"84 Gasif. CFB, Bio-SNG:  Technical lifetime"
BtL,2030,C in fuel,0.32,per unit,Stoichiometric calculation,
BtL,2030,C stored,0.68,per unit,Stoichiometric calculation,
BtL,2030,CO2 stored,0.25,tCO2/MWh_th,Stoichiometric calculation,
BtL,2030,FOM,2.67,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Fixed O&M"
BtL,2030,VOM,1.06,EUR/MWh_FT,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Variable O&M"
BtL,2030,capture rate,0.98,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,
BtL,2030,efficiency,0.45,per unit,doi:10.1016/j.enpol.2017.05.013,
BtL,2030,investment,2000.0,EUR/kW_th,doi:10.1016/j.enpol.2017.05.013,"85 Gasif. Ent. Flow FT, liq fu :  Specific investment"
BtL,2030,lifetime,25.0,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Technical lifetime"
CCGT,2030,FOM,3.35,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Fixed O&M"
CCGT,2030,VOM,4.2,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Variable O&M"
CCGT,2030,c_b,2.0,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Cb coefficient"
CCGT,2030,c_v,0.15,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Cv coefficient"
CCGT,2030,efficiency,0.58,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Electricity efficiency, annual average"
CCGT,2030,investment,830.0,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Nominal investment"
CCGT,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Technical lifetime"
CH4 (g) fill compressor station,2030,FOM,1.7,%/year,Assume same as for H2 (g) fill compressor station.,
CH4 (g) fill compressor station,2030,investment,1498.95,EUR/MW_CH4,"Guesstimate, based on H2 (g) pipeline and fill compressor station cost.",
CH4 (g) fill compressor station,2030,lifetime,20.0,years,Assume same as for H2 (g) fill compressor station.,
CH4 (g) pipeline,2030,FOM,1.5,%/year,Assume same as for H2 (g) pipeline in 2050 (CH4 pipeline as mature technology).,
CH4 (g) pipeline,2030,investment,79.0,EUR/MW/km,Guesstimate.,
CH4 (g) pipeline,2030,lifetime,50.0,years,Assume same as for H2 (g) pipeline in 2050 (CH4 pipeline as mature technology).,
CH4 (g) submarine pipeline,2030,FOM,3.0,%/year,"d’Amore-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material.",
CH4 (g) submarine pipeline,2030,investment,114.89,EUR/MW/km,Kaiser (2017): 10.1016/j.marpol.2017.05.003 .,
CH4 (g) submarine pipeline,2030,lifetime,30.0,years,"d’Amore-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material.",
CH4 (l) transport ship,2030,FOM,3.5,%/year,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
